sampleid,filterid,filternumber,Random quadrant,Picture number,Count,Fibers,Particles,Type,Given to Thermo,Location
2S312,2S312_5,5,3,2,3,3,0,offshore,,SurRidge
1D111,1D111_1,1,3,1,0,0,0,offshore,,Davidson
1D111,1D111_1,1,3,2,1,1,0,offshore,,Davidson
1D111,1D111_2,2,4,1,6,3,3,offshore,,Davidson
1D111,1D111_2,2,4,2,0,0,0,offshore,,Davidson
1D111,1D111_3,3,2,1,0,0,0,offshore,,Davidson
1D111,1D111_3,3,2,2,0,0,0,offshore,,Davidson
1D111,1D111_4,4,1,1,0,0,0,offshore,,Davidson
1D111,1D111_4,4,1,2,0,0,0,offshore,,Davidson
1D111,1D111_5,5,1,1,3,1,2,offshore,y,Davidson
1D111,1D111_5,5,1,2,1,0,1,offshore,y,Davidson
1D111,1D111_6,6,4,1,0,0,0,offshore,,Davidson
1D111,1D111_6,6,4,2,0,0,0,offshore,,Davidson
1D111,1D111_7,7,1,1,0,0,0,offshore,,Davidson
1D111,1D111_7,7,1,2,1,1,0,offshore,,Davidson
1D111,1D111_8,8,3,1,0,0,0,offshore,,Davidson
1D111,1D111_8,8,3,2,0,0,0,offshore,,Davidson
1D111,1D111_9,9,3,1,0,0,0,offshore,,Davidson
1D111,1D111_9,9,3,2,0,0,0,offshore,,Davidson
1D211,1D211_1,1,3,1,0,0,0,offshore,,Davidson
1D211,1D211_1,1,3,2,0,0,0,offshore,,Davidson
1D211,1D211_2,2,1,1,0,0,0,offshore,,Davidson
1D211,1D211_2,2,1,2,0,0,0,offshore,,Davidson
1D211,1D211_3,3,1,1,0,0,0,offshore,,Davidson
1D211,1D211_3,3,1,2,1,1,0,offshore,,Davidson
1D311,1D311_1,1,3,1,0,0,0,offshore,,Davidson
1D311,1D311_1,1,3,2,0,0,0,offshore,,Davidson
1D311,1D311_2,2,2,1,0,0,0,offshore,,Davidson
1D311,1D311_2,2,2,2,1,0,1,offshore,,Davidson
1S211,1S211_1,1,1,1,40,20,20,offshore,y,SurRidge
1S211,1S211_1,1,1,2,7,4,3,offshore,y,SurRidge
1S211,1S211_2,2,2,1,12,3,9,offshore,,SurRidge
1S211,1S211_2,2,2,2,1,1,0,offshore,,SurRidge
1S211,1S211_3,3,3,1,1,1,0,offshore,,SurRidge
1S211,1S211_3,3,3,2,0,0,0,offshore,,SurRidge
1S211,1S211_4,4,2,1,10,3,7,offshore,,SurRidge
1S211,1S211_4,4,2,2,3,0,3,offshore,,SurRidge
1S311,1S311_1,1,2,1,4,3,1,offshore,,SurRidge
1S311,1S311_1,1,2,2,0,0,0,offshore,,SurRidge
1S311,1S311_2,2,3,1,20,20,0,offshore,,SurRidge
1S311,1S311_2,2,3,2,3,3,0,offshore,,SurRidge
1S311,1S311_3,3,2,1,5,5,0,offshore,,SurRidge
1S311,1S311_3,3,2,2,9,1,8,offshore,,SurRidge
1S311,1S311_4,4,4,1,111,111,0,offshore,,SurRidge
1S311,1S311_4,4,4,2,23,23,0,offshore,,SurRidge
1S312,1S312_1,1,2,1,2,2,0,offshore,,SurRidge
1S312,1S312_1,1,2,2,2,0,2,offshore,,SurRidge
2D111,2D111_1,1,2,1,4,0,4,offshore,,Davidson
2D111,2D111_1,1,2,2,4,0,4,offshore,,Davidson
2D111,2D111_2,2,2,1,8,0,8,offshore,,Davidson
2D111,2D111_2,2,2,2,4,0,4,offshore,,Davidson
2D111,2D111_3,3,2,1,2,0,2,offshore,,Davidson
2D111,2D111_3,3,2,2,2,0,2,offshore,,Davidson
2D111,2D111_4,4,4,1,2,2,0,offshore,,Davidson
2D111,2D111_4,4,4,2,0,0,0,offshore,,Davidson
2D111,2D111_5,5,3,1,2,1,1,offshore,y,Davidson
2D111,2D111_5,5,3,2,1,0,1,offshore,y,Davidson
2D211,2D211_1,1,1,1,1,0,1,offshore,,Davidson
2D211,2D211_1,1,1,2,0,0,0,offshore,,Davidson
2D211,2D211_2,2,4,1,0,0,0,offshore,,Davidson
2D211,2D211_2,2,4,2,0,0,0,offshore,,Davidson
2D211,2D211_3,3,2,1,0,0,0,offshore,,Davidson
2D211,2D211_3,3,2,2,3,3,0,offshore,,Davidson
2D211,2D211_4,4,1,1,7,6,1,offshore,,Davidson
2D211,2D211_4,4,1,2,3,2,1,offshore,,Davidson
2D211,2D211_5,5,1,1,5,3,2,offshore,,Davidson
2D211,2D211_5,5,1,2,2,2,0,offshore,,Davidson
2D312,2D312_1,1,2,1,0,0,0,offshore,,Davidson
2D312,2D312_1,1,2,2,0,0,0,offshore,,Davidson
2D312,2D312_2,2,4,1,0,0,0,offshore,,Davidson
2D312,2D312_2,2,4,2,0,0,0,offshore,,Davidson
2D312,2D312_3,3,3,1,0,0,0,offshore,,Davidson
2D312,2D312_3,3,3,2,0,0,0,offshore,,Davidson
2D322,2D322_1,1,4,1,0,0,0,offshore,,Davidson
2D322,2D322_1,1,4,2,1,1,0,offshore,,Davidson
2D322,2D322_2,2,4,1,0,0,0,offshore,,Davidson
2D322,2D322_2,2,4,2,0,0,0,offshore,,Davidson
2S312,2S312_2,2,2,1,0,0,0,offshore,,SurRidge
2S312,2S312_2,2,2,2,0,0,0,offshore,,SurRidge
2S312,2S312_3,3,4,1,1,1,0,offshore,y,SurRidge
2S312,2S312_3,3,4,2,0,0,0,offshore,y,SurRidge
2S312,2S312_4,4,1,1,4,4,0,offshore,,SurRidge
2S312,2S312_4,4,1,2,1,1,0,offshore,,SurRidge
2S312,2S312_5,5,3,1,3,0,3,offshore,,SurRidge
2S312,2S312_5,5,3,2,0,0,0,offshore,,SurRidge
2S312,2S312_6,6,1,1,0,0,0,offshore,,SurRidge
2S312,2S312_6,6,1,2,0,0,0,offshore,,SurRidge
2S312,2S312_7,7,2,1,0,0,0,offshore,,SurRidge
2S312,2S312_7,7,2,2,0,0,0,offshore,,SurRidge
2S312,2S312_8,8,4,1,0,0,0,offshore,,SurRidge
2S312,2S312_8,8,4,2,0,0,0,offshore,,SurRidge
2S312,2S312_9,9,4,1,0,0,0,offshore,,SurRidge
2S312,2S312_9,9,4,2,0,0,0,offshore,,SurRidge
2S322,2S322_1,1,4,1,2,2,0,offshore,,SurRidge
2S322,2S322_1,1,4,2,0,0,0,offshore,,SurRidge
2S322,2S322_2,2,1,1,2,0,2,offshore,,SurRidge
2S322,2S322_2,2,1,2,2,2,0,offshore,,SurRidge
2S322,2S322_3,3,1,1,2,2,0,offshore,,SurRidge
2S322,2S322_3,3,1,2,1,0,1,offshore,,SurRidge
2S322,2S322_4,4,2,1,1,1,0,offshore,,SurRidge
2S322,2S322_4,4,2,2,0,0,0,offshore,,SurRidge
2S322,2S322_5,5,2,1,3,2,1,offshore,,SurRidge
2S322,2S322_5,5,2,2,0,0,0,offshore,,SurRidge
2S322,2S322_6,6,3,1,0,0,0,offshore,,SurRidge
2S322,2S322_6,6,3,2,0,0,0,offshore,,SurRidge
2S322,2S322_7,7,1,1,0,0,0,offshore,,SurRidge
2S322,2S322_7,7,1,2,0,0,0,offshore,,SurRidge
2S322,2S322_8,8,3,1,5,0,5,offshore,,SurRidge
2S322,2S322_8,8,3,2,1,0,1,offshore,,SurRidge
3D111,3D111_1,1,1,1,5,3,2,offshore,y,Davidson
3D111,3D111_1,1,1,2,3,3,0,offshore,y,Davidson
3D111,3D111_2,2,2,1,10,10,0,offshore,,Davidson
3D111,3D111_2,2,2,2,4,4,0,offshore,,Davidson
3D211,3D211_1,1,2,1,12,12,0,offshore,,Davidson
3D211,3D211_1,1,2,2,0,0,0,offshore,,Davidson
3D311,3D311,1,2,1,8,4,4,offshore,,Davidson
3D311,3D311,1,2,2,6,4,2,offshore,,Davidson
B111,B111_1,1,3,1,0,0,0,nearshore,,Boardwalk
B111,B111_1,1,3,2,0,0,0,nearshore,,Boardwalk
B111,B111_10,10,3,1,0,0,0,nearshore,,Boardwalk
B111,B111_10,10,3,2,0,0,0,nearshore,,Boardwalk
B111,B111_2,2,3,1,8,7,1,nearshore,,Boardwalk
B111,B111_2,2,3,2,0,0,0,nearshore,,Boardwalk
B111,B111_3,3,2,1,2,2,0,nearshore,,Boardwalk
B111,B111_3,3,2,2,1,1,0,nearshore,,Boardwalk
B111,B111_4,4,4,1,7,0,7,nearshore,,Boardwalk
B111,B111_4,4,4,2,0,0,0,nearshore,,Boardwalk
